datetime,Ia (A),Ib (A),Ic (A),Pa (kW),Pb (kW),Pc (kW),Ptot (kW),VAa (kVA),VAb (kVA),VAc (kVA),VAtot (kVA)
2023-05-14 10:47:00,5.85522222222222,5.920555555555557,5.922666666666669,2.100404555555556,0.0,1.8898506666666672,3.983576666666667,0.0,0.0,0.0,0.0
2023-05-14 10:48:00,5.568461538461539,5.62010989010989,5.616703296703296,2.0067810989010986,0.0,1.779451868131868,3.7910228571428575,0.0,0.0,0.0,0.0
2023-05-14 10:49:00,5.614395604395606,5.68,5.657912087912088,2.007125384615385,0.0,1.8010054945054943,3.805391758241758,0.0,0.0,0.0,0.0
2023-05-14 10:50:00,4.265274725274724,4.311538461538462,4.299890109890111,1.5483664835164832,0.0,1.3540178021978022,2.9023842857142856,0.0,0.0,0.0,0.0
2023-05-14 10:51:00,4.325604395604397,4.374945054945055,4.365494505494506,1.5538379120879124,0.0,1.368683076923077,2.9232957142857146,0.0,0.0,0.0,0.0
2023-05-14 10:52:00,4.238555555555556,4.284888888888889,4.274222222222223,1.5327309999999996,0.0,1.3419640000000002,2.873197777777778,0.0,0.0,0.0,0.0
2023-05-14 10:53:00,5.787692307692307,5.843626373626374,5.8208791208791215,2.0833550549450544,0.0,1.8458172527472525,3.94324,0.0,0.0,0.0,0.0
2023-05-14 10:54:00,5.601,5.653444444444444,5.639555555555556,2.004119111111111,0.0,1.7960302222222215,3.7960007777777776,0.0,0.0,0.0,0.0
2023-05-14 10:55:00,5.747111111111111,5.803777777777778,5.790888888888887,2.0692388888888886,0.0,1.8362751111111115,3.905504555555555,0.0,0.0,0.0,0.0
2023-05-14 10:56:00,5.819890109890109,5.8825274725274745,5.8615384615384585,2.082031868131868,0.0,1.860198571428572,3.9418531868131854,0.0,0.0,0.0,0.0
2023-05-14 10:57:00,4.062222222222222,4.108444444444444,4.119666666666666,1.475445222222222,0.0,1.2927315555555554,2.7822960000000005,0.0,0.0,0.0,0.0
2023-05-14 10:58:00,2.459888888888889,2.4956666666666667,2.4803333333333337,0.9002426666666666,0.0,0.753896,1.649983,0.0,0.0,0.0,0.0
2023-05-14 10:59:00,5.236593406593406,5.293956043956046,5.245384615384615,1.8709462637362635,0.0,1.6633909890109888,3.536112747252747,0.0,0.0,0.0,0.0
2023-05-14 11:00:00,3.9862222222222217,4.026666666666667,4.017444444444444,1.4455744444444447,0.0,1.2566405555555555,2.703078888888889,0.0,0.0,0.0,0.0
