Datetime,CI_CM,CI_RGB
2024-01-01 00:00:00,0.0,0.0
2024-01-01 00:15:00,0.0,0.0
2024-01-01 00:30:00,0.0,0.0
2024-01-01 00:45:00,0.0,0.0
2024-01-01 01:00:00,0.0,0.0
2024-01-01 01:15:00,0.0,0.0
2024-01-01 01:30:00,0.0,0.0
2024-01-01 01:45:00,0.0,0.0
2024-01-01 02:00:00,0.0,0.0
2024-01-01 02:15:00,0.0,0.0
2024-01-01 02:30:00,0.0,0.0
2024-01-01 02:45:00,0.0,0.0
2024-01-01 03:00:00,0.0,0.0
2024-01-01 03:15:00,0.0,0.0
2024-01-01 03:30:00,0.0,0.0
2024-01-01 03:45:00,0.0,0.0
2024-01-01 04:00:00,0.0,0.0
2024-01-01 04:15:00,0.0,0.0
2024-01-01 04:30:00,0.0,0.0
2024-01-01 04:45:00,0.0,0.0
2024-01-01 05:00:00,0.0,0.0
2024-01-01 05:15:00,0.0,0.0
2024-01-01 05:30:00,0.0,0.0
2024-01-01 05:45:00,0.0,0.0
2024-01-01 06:00:00,11.5,0.0
2024-01-01 06:15:00,11.0,0.0
2024-01-01 06:30:00,11.0,29.0
2024-01-01 06:45:00,13.0,110.0
2024-01-01 07:00:00,12.0,111.0
2024-01-01 07:15:00,12.0,100.0
2024-01-01 07:30:00,10.5,96.5
2024-01-01 07:45:00,9.0,95.0
2024-01-01 08:00:00,7.5,82.0
2024-01-01 08:15:00,5.0,83.0
2024-01-01 08:30:00,2.0,84.5
2024-01-01 08:45:00,0.0,85.0
2024-01-01 09:00:00,0.0,84.0
2024-01-01 09:15:00,0.0,81.0
2024-01-01 09:30:00,0.0,80.0
2024-01-01 09:45:00,0.0,79.0
2024-01-01 10:00:00,0.0,76.0
2024-01-01 10:15:00,0.0,72.0
2024-01-01 10:30:00,0.0,70.5
2024-01-01 10:45:00,0.0,69.0
2024-01-01 11:00:00,0.0,69.0
2024-01-01 11:15:00,0.0,68.0
2024-01-01 11:30:00,0.0,67.5
2024-01-01 11:45:00,0.0,65.0
2024-01-01 12:00:00,4.5,67.5
2024-01-01 12:15:00,6.0,69.0
2024-01-01 12:30:00,9.5,64.0
2024-01-01 12:45:00,16.0,76.0
2024-01-01 13:00:00,19.0,137.5
2024-01-01 13:15:00,18.0,88.0
2024-01-01 13:30:00,17.0,97.0
2024-01-01 13:45:00,17.0,112.0
2024-01-01 14:00:00,16.0,64.0
2024-01-01 14:15:00,14.0,62.0
2024-01-01 14:30:00,18.5,61.5
2024-01-01 14:45:00,23.0,63.0
2024-01-01 15:00:00,24.0,59.5
2024-01-01 15:15:00,27.0,59.0
2024-01-01 15:30:00,26.0,62.75
2024-01-01 15:45:00,26.0,55.0
2024-01-01 16:00:00,28.5,62.5
2024-01-01 16:15:00,27.0,102.0
2024-01-01 16:30:00,29.5,119.5
2024-01-01 16:45:00,29.0,127.0
2024-01-01 17:00:00,34.5,84.0
2024-01-01 17:15:00,39.0,88.0
2024-01-01 17:30:00,32.5,97.0
2024-01-01 17:45:00,29.0,104.0
2024-01-01 18:00:00,21.5,24.5
2024-01-01 18:15:00,15.0,1.0
2024-01-01 18:30:00,8.5,1.0
2024-01-01 18:45:00,5.0,1.0
2024-01-01 19:00:00,5.0,1.0
2024-01-01 19:15:00,4.0,4.0
2024-01-01 19:30:00,4.0,8.0
2024-01-01 19:45:00,3.0,0.0
2024-01-01 20:00:00,0.0,0.0
2024-01-01 20:15:00,0.0,0.0
2024-01-01 20:30:00,0.0,0.0
2024-01-01 20:45:00,0.0,0.0
2024-01-01 21:00:00,0.0,0.0
2024-01-01 21:15:00,0.0,0.0
2024-01-01 21:30:00,0.0,0.0
2024-01-01 21:45:00,0.0,0.0
2024-01-01 22:00:00,0.0,0.0
2024-01-01 22:15:00,0.0,0.0
2024-01-01 22:30:00,0.0,0.0
2024-01-01 22:45:00,0.0,0.0
2024-01-01 23:00:00,0.0,0.0
2024-01-01 23:15:00,0.0,0.0
2024-01-01 23:30:00,0.0,0.0
2024-01-01 23:45:00,0.0,0.0
2024-01-02 00:00:00,0.0,0.0
2024-01-02 00:15:00,0.0,0.0
2024-01-02 00:30:00,0.0,0.0
2024-01-02 00:45:00,0.0,0.0
2024-01-02 01:00:00,0.0,0.0
2024-01-02 01:15:00,0.0,0.0
2024-01-02 01:30:00,0.0,0.0
2024-01-02 01:45:00,0.0,0.0
2024-01-02 02:00:00,0.0,0.0
2024-01-02 02:15:00,0.0,0.0
2024-01-02 02:30:00,0.0,0.0
2024-01-02 02:45:00,0.0,0.0
2024-01-02 03:00:00,0.0,0.0
2024-01-02 03:15:00,0.0,0.0
2024-01-02 03:30:00,0.0,0.0
2024-01-02 03:45:00,0.0,0.0
2024-01-02 04:00:00,0.0,0.0
2024-01-02 04:15:00,0.0,0.0
2024-01-02 04:30:00,0.0,0.0
2024-01-02 04:45:00,0.0,0.0
2024-01-02 05:00:00,0.0,0.0
2024-01-02 05:15:00,0.0,0.0
2024-01-02 05:30:00,0.0,0.0
2024-01-02 05:45:00,0.0,0.0
2024-01-02 06:00:00,17.0,0.0
2024-01-02 06:15:00,18.0,0.0
2024-01-02 06:30:00,19.0,24.5
2024-01-02 06:45:00,20.0,109.0
2024-01-02 07:00:00,15.5,115.5
2024-01-02 07:15:00,15.0,96.0
2024-01-02 07:30:00,17.0,97.0
2024-01-02 07:45:00,15.0,93.0
2024-01-02 08:00:00,15.5,84.0
2024-01-02 08:15:00,14.0,84.0
2024-01-02 08:30:00,12.0,81.0
2024-01-02 08:45:00,11.0,81.0
2024-01-02 09:00:00,7.5,81.0
2024-01-02 09:15:00,3.0,80.5
2024-01-02 09:30:00,1.75,79.25
2024-01-02 09:45:00,1.0,77.0
2024-01-02 10:00:00,2.5,75.5
2024-01-02 10:15:00,3.0,72.0
2024-01-02 10:30:00,5.0,72.5
2024-01-02 10:45:00,7.0,73.0
2024-01-02 11:00:00,12.0,73.0
2024-01-02 11:15:00,17.0,75.0
2024-01-02 11:30:00,17.0,94.5
2024-01-02 11:45:00,20.0,68.0
2024-01-02 12:00:00,20.5,112.0
2024-01-02 12:15:00,21.0,158.0
2024-01-02 12:30:00,21.5,90.0
2024-01-02 12:45:00,22.0,69.0
2024-01-02 13:00:00,22.0,90.5
2024-01-02 13:15:00,20.0,158.0
2024-01-02 13:30:00,21.0,141.0
2024-01-02 13:45:00,22.0,63.0
2024-01-02 14:00:00,19.0,93.5
2024-01-02 14:15:00,23.0,87.0
2024-01-02 14:30:00,23.5,64.0
2024-01-02 14:45:00,28.0,91.0
2024-01-02 15:00:00,26.0,84.0
2024-01-02 15:15:00,37.0,65.0
2024-01-02 15:30:00,32.5,68.5
2024-01-02 15:45:00,32.0,85.0
2024-01-02 16:00:00,30.0,72.5
2024-01-02 16:15:00,23.0,83.0
2024-01-02 16:30:00,24.5,66.5
2024-01-02 16:45:00,23.5,80.5
2024-01-02 17:00:00,19.25,94.25
2024-01-02 17:15:00,11.0,92.0
2024-01-02 17:30:00,11.0,99.0
2024-01-02 17:45:00,7.0,99.0
2024-01-02 18:00:00,6.1923076923076925,87.57692307692308
2024-01-02 18:15:00,5.384615384615385,76.15384615384616
2024-01-02 18:30:00,4.5769230769230775,64.73076923076924
2024-01-02 18:45:00,3.769230769230769,53.30769230769231
2024-01-02 19:00:00,2.9615384615384617,41.88461538461539
2024-01-02 19:15:00,2.153846153846154,30.461538461538467
2024-01-02 19:30:00,1.3461538461538467,19.038461538461547
2024-01-02 19:45:00,0.5384615384615383,7.615384615384613
2024-01-02 20:00:00,0.0,0.0
2024-01-02 20:15:00,0.0,0.0
2024-01-02 20:30:00,0.0,0.0
2024-01-02 20:45:00,0.0,0.0
2024-01-02 21:00:00,0.0,0.0
2024-01-02 21:15:00,0.0,0.0
2024-01-02 21:30:00,0.0,0.0
2024-01-02 21:45:00,0.0,0.0
2024-01-02 22:00:00,0.0,0.0
2024-01-02 22:15:00,0.0,0.0
2024-01-02 22:30:00,0.0,0.0
2024-01-02 22:45:00,0.0,0.0
2024-01-02 23:00:00,0.0,0.0
2024-01-02 23:15:00,0.0,0.0
2024-01-02 23:30:00,0.0,0.0
2024-01-02 23:45:00,0.0,0.0
2024-01-04 00:00:00,0.0,0.0
2024-01-04 00:15:00,0.0,0.0
2024-01-04 00:30:00,0.0,0.0
2024-01-04 00:45:00,0.0,0.0
2024-01-04 01:00:00,0.0,0.0
2024-01-04 01:15:00,0.0,0.0
2024-01-04 01:30:00,0.0,0.0
2024-01-04 01:45:00,0.0,0.0
2024-01-04 02:00:00,0.0,0.0
2024-01-04 02:15:00,0.0,0.0
2024-01-04 02:30:00,0.0,0.0
2024-01-04 02:45:00,0.0,0.0
2024-01-04 03:00:00,0.0,0.0
2024-01-04 03:15:00,0.0,0.0
2024-01-04 03:30:00,0.0,0.0
2024-01-04 03:45:00,0.0,0.0
2024-01-04 04:00:00,0.0,0.0
2024-01-04 04:15:00,0.0,0.0
2024-01-04 04:30:00,0.0,0.0
2024-01-04 04:45:00,0.0,0.0
2024-01-04 05:00:00,0.0,0.0
2024-01-04 05:15:00,0.0,0.0
